YEAR,COUNTY,OPERATIONS WITH TAPS,OPERATIONS WITH SALES,NUMBER OF TAPS,SALES,PRODUCTION,TAVG,FZF9,HTDD,DX32,FZF5,EMXP,SNOW,TMIN,DX70,FZF0,EMNT,FZF4,FZF6,FZF2,DX90,EMXT,CDSD,PRCP,FZF7,TMAX,FZF8,DT32,DT00,CLDD,FZF3,FZF1
2017,ADDISON,82,82.0,"308,392","3,469,000","131,899",54.6,11.5,7464.0,64.5,31.5,1.63,44.40000000000001,35.50555555555556,115.0,31.5,-20.0,13.5,25.0,22.5,3.0,91.0,313.5,51.11,18.0,34.25,11.5,160.0,20.5,313.5,18.0,24.5
2012,ADDISON,91,90.0,"153,050","1,290,000","34,809",58.2,7.0,6287.0,36.0,31.0,2.28,48.2,36.055555555555564,132.0,27.0,-7.0,15.0,26.0,24.0,7.0,97.0,542.0,39.54,23.0,37.0,18.0,146.0,5.0,542.0,16.0,24.0
2007,ADDISON,92,,"146,342",,"37,244",45.65,10.0,6991.0,60.0,32.0,1.54,132.3,34.65000000000001,138.5,29.5,-19.5,14.0,27.5,23.0,11.5,94.5,538.5,41.26,24.0,56.55,13.0,158.5,27.0,538.5,18.5,25.5
2002,ADDISON,98,,"100,698",,"24,681",44.85454545454546,10.09090909090909,7709.636363636364,24.5,31.181818181818183,2.069090909090909,105.35454545454546,33.93636363636364,20.0,33.75,20.0,13.727272727272727,28.0,21.545454545454547,31.0,45.95,509.5,43.13272727272727,21.727272727272727,55.79090909090909,18.727272727272727,97.0,9.5,85.0,17.0,24.72727272727273
1997,ADDISON,87,,"100,904",,,45.6,15.0,7038.0,52.5,27.0,1.4,83.2,34.3,120.0,32.0,-17.0,13.0,27.0,24.0,9.5,92.5,375.0,30.285,20.0,56.3,20.0,170.0,12.0,375.0,19.0,28.0
2017,BENNINGTON,31,31.0,"97,385","712,000","24,887",58.2,7.0,6547.0,45.0,29.0,3.47,47.8,190.0,137.0,27.0,-11.0,14.0,24.0,23.0,3.0,90.0,377.0,41.93,20.0,37.5,7.0,137.0,7.0,377.0,19.0,27.0
2012,BENNINGTON,54,54.0,"123,150","1,020,000","27,429",59.8,10.0,6268.0,27.0,27.0,2.395,49.1,110.0,136.5,25.0,-5.0,9.0,26.0,22.0,9.5,95.5,535.5,35.525,23.0,38.45,14.0,141.5,4.0,535.5,17.5,22.0
2007,BENNINGTON,38,,"75,423",,"10,426",44.6,2.5,7210.0,62.0,31.5,1.7799999999999998,111.3,33.8,123.5,30.5,-10.5,12.0,23.5,23.5,1.5,91.0,250.5,47.715,21.0,55.45,10.0,167.5,18.0,250.5,18.5,25.0
2002,BENNINGTON,64,,"55,381",,"12,085",45.95,15.5,7177.954545454546,26.0,32.0,2.3440909090909092,69.4,34.7,20.0,35.25,23.5,12.5,26.0,36.0,30.5,45.90000000000001,376.0,40.0009090909091,24.0,57.2,18.5,94.5,16.2,101.0,19.5,140.0
1997,BENNINGTON,50,,"43,754",,,40.9,16.0,7608.558823529412,67.0,28.0,1.535,102.6,29.1,96.0,28.0,-16.0,15.0,28.0,23.0,0.0,87.5,91.0,46.99500000000001,24.0,52.3,20.0,202.0,17.0,91.0,18.0,28.0
2017,CALEDONIA,118,118.0,"234,370","2,061,000","69,488",54.8,8.0,7864.0,62.0,31.0,2.2,44.8,36.95531914893617,120.0,31.0,-20.0,14.0,26.0,20.0,5.0,91.0,313.0,47.415,23.0,34.8,8.0,152.0,22.0,313.0,20.0,22.0
2012,CALEDONIA,107,104.0,"182,883","900,000","27,206",54.85,14.0,7745.0,60.5,32.0,2.02,45.0,34.56170212765958,120.0,30.0,-15.5,14.5,26.0,22.5,1.0,89.5,304.5,38.335,23.0,35.2,19.0,158.5,13.0,304.5,15.5,24.0
2007,CALEDONIA,81,,"117,520",,"23,495",43.95,-5.0,7657.5,69.5,31.5,2.08,140.9,33.3,124.0,30.5,-23.0,14.5,27.5,22.0,5.0,91.5,356.0,43.72,19.0,54.6,7.0,170.5,26.0,356.0,18.0,26.0
