STATION,NAME,LATITUDE,LONGITUDE,COUNTY,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2008,480.0,480.0,136,80,101.0,19.0,8.0,143.0,69.0,112.0,3.0,-12.0,16.0,7.4,3.01,91.0,29.0,28.0,23.0,20.0,16.0,32.0,27.0,12.0,12.0,12.0,6838.0,6838.0,39.34,68.4,46.4,55.1,37.8
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2009,425.0,425.0,130,75,67.0,10.0,19.0,138.0,61.0,108.0,1.0,-17.0,14.0,8.0,1.26,90.0,31.0,27.0,22.0,19.0,15.0,28.0,28.0,19.0,19.0,14.0,7431.0,7431.0,32.98,38.2,46.0,54.5,37.4
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2010,720.0,720.0,131,81,55.0,12.0,4.0,129.0,59.0,122.0,14.0,-5.0,11.0,9.2,2.1,96.0,32.0,27.0,19.0,19.0,16.0,32.0,17.0,17.0,17.0,16.0,6524.0,6524.0,41.57,38.7,48.6,57.0,40.3
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2011,,,157,89,,,,,57.0,125.0,5.0,,,,4.02,95.0,,,,,,,,,,,7367.0,7367.0,44.84,,,56.3,
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2012,805.0,805.0,126,66,34.0,11.0,4.0,135.0,36.0,133.0,12.0,-3.0,13.0,11.0,3.38,98.0,29.0,23.0,23.0,11.0,11.0,31.0,25.0,20.0,20.0,7.0,,,32.83,39.6,50.0,59.0,40.9
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2013,615.0,615.0,139,74,83.0,9.0,14.0,147.0,57.0,125.0,7.0,-11.0,12.0,9.7,1.88,94.0,32.0,26.0,24.0,18.0,14.0,30.0,24.0,24.0,15.0,15.0,6852.0,6852.0,37.69,49.8,46.8,55.5,38.1
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2014,544.0,544.0,126,77,109.0,14.0,21.0,142.0,72.0,123.0,3.0,-16.0,12.0,10.0,1.81,90.0,32.0,28.0,24.0,20.0,13.0,25.0,25.0,19.0,19.0,6.0,7767.0,7767.0,35.57,49.7,45.7,54.2,37.2
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2015,693.0,693.0,120,77,73.0,11.0,30.0,129.0,69.0,137.0,6.0,-17.0,11.0,6.0,2.07,94.0,30.0,25.0,24.0,17.0,14.0,27.0,27.0,19.0,19.0,12.0,7756.0,7756.0,37.7,36.3,46.7,56.0,37.3
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2016,808.0,808.0,120,70,49.0,10.0,9.0,143.0,45.0,132.0,9.0,-17.0,4.0,3.3,1.78,95.0,32.0,28.0,23.0,19.0,15.0,32.0,28.0,20.0,20.0,16.0,6505.0,6505.0,26.7,28.7,48.5,57.6,39.3
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2017,561.0,561.0,146,88,72.0,19.0,7.0,136.0,56.0,130.0,2.0,-12.0,24.0,17.0,1.76,95.0,31.0,27.0,17.0,17.0,16.0,31.0,26.0,11.0,11.0,11.0,6688.0,6688.0,38.72,77.6,47.7,56.2,39.2
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2018,848.0,848.0,151,87,95.0,17.0,11.0,155.0,62.0,128.0,15.0,-17.0,10.0,9.8,1.84,98.0,30.0,28.0,16.0,16.0,16.0,29.0,28.0,21.0,20.0,10.0,7123.0,7123.0,35.12,64.3,47.0,55.5,38.4
USC00437607,"SOUTH HERO, VT US",44.6264,-73.303,Grand Isle,33.5,2019,596.0,596.0,137,78,94.0,16.0,15.0,150.0,68.0,107.0,5.0,-13.0,12.0,10.5,1.62,94.0,26.0,26.0,23.0,19.0,15.0,32.0,25.0,19.0,19.0,16.0,7728.0,7728.0,36.81,53.9,45.6,54.4,36.8
