,cluster,YEAR,COUNTY,OPERATIONS WITH TAPS,OPERATIONS WITH SALES,NUMBER OF TAPS,SALES,PRODUCTION,Average Annual Temperature,Temp of Last Freeze <= 16 F (Jan - July),Heating Degree Days,# Days w/ Max Temp <= 32 F,Temp of Last Freeze <= 32 F (Jan - July),Highest Daily Precipitation Total,Total Annual Snowfall,Average Annual Minimum Temperature,# Days w/ Max Temp <= 70 F,Temp of Last Freeze <= 32 F (Aug - Dec),Extreme Min Temp,Temp of Last Freeze <= 16 F (Aug - Dec),Temp of Last Freeze <= 28 F (Jan - July),Temp of Last Freeze <= 24 F (Aug - Dec),# Days w/ Max Temp >= 90 F,Extreme Max Temp,Cooling Degree Days,Total Annual Precipitation,Temp of Last Freeze <= 24 F (Jan - July),Average Annual Maximum Temperature,Temp of Last Freeze <= 20 F (Jan - July),# Days w/ Max Temp <= 32 F,# Days w/ Max Temp <= 0 F,Mean Cooling Degree Days >= 65 F,Temp of Last Freeze <= 20 F (Aug - Dec),Temp of Last Freeze <= 28 F (Aug - Dec)
count,32.0,32,32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
unique,,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,,1997,WINDHAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,2.0,,,106.78125,99.84375,181111.71875,1874093.75,43993.125,46.410111177884616,11.538311298076923,7604.702301834195,61.87034254807692,30.185096153846153,2.4135416666666667,113.07592075892858,50.130354279290444,114.12334735576923,29.67908653846154,-18.156400240384617,13.98828125,26.479266826923077,23.120192307692307,3.4268329326923075,90.53981370192308,282.7116887019231,45.436770833333334,22.17578125,49.024804687499994,16.42052283653846,173.2361778846154,21.47890625,270.8044084821429,18.274489182692307,25.940504807692307
std,0.0,,,42.39197609332189,20.23747621489367,89017.157888054,452811.3157835313,17009.798190094494,6.422841506543238,5.628243227971635,778.6539581036824,18.463354644544715,1.71812134948596,0.7901104398553779,60.34795484164809,64.33093364155401,18.900329497086627,2.1109836777454194,6.904950679603108,2.2216764265196733,1.3424224014044421,0.9306323341280811,3.5850464764983605,3.2832877332183155,124.85614773576965,10.851443257803533,1.8978073550959937,8.133259524624593,3.6349526181185263,16.670077044139433,11.139462526442836,124.38986508818722,1.1444206106557835,1.7264030907019443
min,2.0,,,31.0,31.0,43754.0,664000.0,10426.0,36.90000000000001,-5.0,6268.0,27.0,25.84615384615385,1.3199999999999998,43.55,26.5,55.5,23.0,-31.5,7.125,23.0,20.0,0.0,82.5,74.5,30.285,18.0,32.95,7.0,137.0,4.0,74.5,15.5,22.0
25%,2.0,,,85.5,104.0,121405.25,2068000.0,33516.0,42.23750000000001,10.375,7118.769230769232,51.625,29.05769230769231,1.85,64.3109375,31.225,108.875,29.125,-23.0,13.875,26.0,22.5,0.5,88.75,205.5,39.24,21.0,43.7,14.0,164.4230769230769,13.75,178.25,17.875,24.9375
50%,2.0,,,104.0,104.0,159633.0,2092000.0,48802.5,44.4,14.0,7476.307692307692,62.0,30.75,2.2625,108.35,33.349999999999994,118.88461538461539,30.0,-17.0,14.75,26.9375,23.0,1.90625,90.75,278.0,43.92,23.0,52.974999999999994,18.0,172.75,18.5625,264.0,18.5,26.0
75%,2.0,,,129.25,104.0,219153.5,2092000.0,48802.5,51.83749999999999,15.125,8099.0,67.625,31.5,2.75,135.0392857142857,34.672115384615395,125.625,31.0,-13.23076923076923,15.125,27.5,24.0,5.625,92.125,360.0,47.89875000000001,23.5,55.075,19.0,182.125,27.25,349.07142857142856,19.0,27.03846153846154
max,2.0,,,205.0,164.0,500106.0,2123000.0,95946.0,59.8,16.0,9340.5,112.5,32.0,4.375,316.6,360.0,138.5,32.0,-5.0,16.0,28.0,24.0,11.5,97.0,542.0,89.04,24.0,58.0,20.0,211.0,48.0,542.0,20.0,28.0
